Coin,classification,avg_pnl,win_rate,trade_count
@107,Extreme Fear,-89.589,0.248,1519
@107,Fear,-2.291,0.414,5462
@107,Neutral,52.15,0.401,4210
@107,Greed,86.252,0.459,8398
@107,Extreme Greed,191.158,0.562,10403
BTC,Extreme Fear,1.732,0.308,1765
BTC,Fear,48.901,0.386,9870
BTC,Neutral,34.921,0.329,4753
BTC,Greed,15.95,0.332,7240
BTC,Extreme Greed,41.413,0.34,2436
ETH,Extreme Fear,196.928,0.557,1393
ETH,Fear,236.865,0.417,2850
ETH,Neutral,46.753,0.462,1317
ETH,Greed,98.219,0.259,3574
ETH,Extreme Greed,-20.759,0.255,2024
HYPE,Extreme Fear,46.904,0.397,10278
HYPE,Fear,30.064,0.434,27951
HYPE,Neutral,17.323,0.413,17324
HYPE,Greed,24.569,0.372,6769
HYPE,Extreme Greed,28.099,0.411,5683
SOL,Extreme Fear,56.006,0.312,1878
SOL,Fear,189.472,0.5,3914
SOL,Neutral,216.697,0.521,1400
SOL,Greed,284.798,0.287,1586
SOL,Extreme Greed,19.716,0.256,1913
